04/04/2025 00:57:20 - INFO - __main__ - Successfully load models
04/04/2025 00:57:22 - INFO - __main__ - Successfully load datasets!
04/04/2025 00:57:27 - INFO - attack.attack_model - Preparing data...
04/04/2025 00:57:27 - INFO - attack.attack_model - Generating feature vectors for member data...
04/04/2025 00:57:27 - INFO - attack.attack_model - [eval_perturb] Starting perturbation loop i=0, idx_rate=0.0
04/04/2025 00:57:27 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 00:58:11 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 00:58:51 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 00:59:31 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 01:00:03 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 01:00:32 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 01:01:02 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 01:01:31 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 01:02:06 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 01:02:37 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 01:03:09 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 01:03:40 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 01:04:11 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 01:04:44 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 01:05:14 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 01:05:45 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 01:06:27 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 01:07:16 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 01:07:58 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
04/04/2025 01:08:30 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 01:09:04 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 01:09:04 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 01:10:38 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 01:11:11 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 01:11:55 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 01:12:31 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 01:13:09 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 01:14:02 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 01:14:37 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 01:15:06 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 01:15:49 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 01:16:58 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 01:17:55 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 01:18:20 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 01:18:45 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 01:19:23 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 01:20:41 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 01:21:19 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 01:21:48 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 01:22:32 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
